type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761865601.978542,-0.014634,0.300000,-0.023884
command,0.018857,1761865601.997399,nan,0.300000,-0.010244
error,0.027652,1761865602.006194,-0.014634,0.300000,-0.010244
command,0.050727,1761865602.029269,nan,0.300000,-0.010244
error,0.061482,1761865602.040024,-0.014634,0.300000,-0.010244
command,0.083444,1761865602.061986,nan,0.300000,-0.010244
error,0.094010,1761865602.072552,-0.017073,0.300000,-0.010244
command,0.116520,1761865602.095061,nan,0.300000,-0.018690
error,0.129918,1761865602.108460,-0.017073,0.300000,-0.018690
command,0.149119,1761865602.127661,nan,0.300000,-0.011951
error,0.160651,1761865602.139193,-0.012195,0.300000,-0.011951
command,0.187118,1761865602.165660,nan,0.300000,0.004538
error,0.202053,1761865602.180595,-0.012195,0.300000,0.004538
command,0.215639,1761865602.194181,nan,0.300000,-0.008537
error,0.228259,1761865602.206801,-0.009756,0.300000,-0.008537
command,0.247924,1761865602.226466,nan,0.300000,-0.000113
error,0.267731,1761865602.246273,-0.007317,0.300000,-0.000113
command,0.281330,1761865602.259872,nan,0.300000,0.001463
error,0.298629,1761865602.277170,-0.002439,0.300000,0.001463
command,0.314789,1761865602.293331,nan,0.300000,0.011453
error,0.327636,1761865602.306178,0.002439,0.300000,0.011453
command,0.347796,1761865602.326338,nan,0.300000,0.015193
error,0.361362,1761865602.339904,0.007317,0.300000,0.015193
command,0.383141,1761865602.361683,nan,0.300000,0.018425
error,0.403460,1761865602.382002,0.012195,0.300000,0.018425
command,0.414706,1761865602.393247,nan,0.300000,0.021805
error,0.430247,1761865602.408789,0.017073,0.300000,0.021805
command,0.445848,1761865602.424389,nan,0.300000,0.025350
error,0.463746,1761865602.442288,0.021951,0.300000,0.025350
command,0.479554,1761865602.458096,nan,0.300000,0.028555
error,0.503732,1761865602.482274,0.026829,0.300000,0.028555
command,0.514112,1761865602.492654,nan,0.300000,0.031964
error,0.529688,1761865602.508230,0.031707,0.300000,0.031964
command,0.545680,1761865602.524222,nan,0.300000,0.035510
error,0.562796,1761865602.541338,0.039024,0.300000,0.035510
command,0.577923,1761865602.556465,nan,0.300000,0.047602
error,0.595584,1761865602.574126,0.036585,0.300000,0.047602
command,0.610884,1761865602.589426,nan,0.300000,0.019024
error,0.629418,1761865602.607960,0.041463,0.300000,0.019024
command,0.644069,1761865602.622610,nan,0.300000,0.042325
error,0.662034,1761865602.640575,0.041463,0.300000,0.042325
command,0.677365,1761865602.655907,nan,0.300000,0.029024
error,0.695260,1761865602.673802,0.043902,0.300000,0.029024
command,0.709655,1761865602.688197,nan,0.300000,0.037531
error,0.734038,1761865602.712580,0.043902,0.300000,0.037531
command,0.743888,1761865602.722430,nan,0.300000,0.030732
error,0.761580,1761865602.740122,0.043902,0.300000,0.030732
command,0.775962,1761865602.754504,nan,0.300000,0.030732
error,0.804445,1761865602.782987,0.041463,0.300000,0.030732
command,0.810894,1761865602.789436,nan,0.300000,0.022390
error,0.828234,1761865602.806776,0.041463,0.300000,0.022390
command,0.842344,1761865602.820886,nan,0.300000,0.029024
error,0.860705,1761865602.839247,0.039024,0.300000,0.029024
command,0.874401,1761865602.852943,nan,0.300000,0.020498
error,0.893981,1761865602.872523,0.039024,0.300000,0.020498
command,0.907406,1761865602.885948,nan,0.300000,0.027317
error,0.934223,1761865602.912765,0.039024,0.300000,0.027317
command,0.941792,1761865602.920333,nan,0.300000,0.027317
error,0.962718,1761865602.941260,0.039024,0.300000,0.027317
command,0.974437,1761865602.952979,nan,0.300000,0.027317
error,0.994625,1761865602.973167,0.036585,0.300000,0.027317
command,1.006566,1761865602.985108,nan,0.300000,0.018874
error,1.027170,1761865603.005712,0.036585,0.300000,0.018874
command,1.039715,1761865603.018257,nan,0.300000,0.025610
error,1.060544,1761865603.039086,0.031707,0.300000,0.025610
command,1.072849,1761865603.051391,nan,0.300000,0.008914
error,1.093671,1761865603.072213,0.031707,0.300000,0.008914
command,1.106023,1761865603.084565,nan,0.300000,0.022195
error,1.135280,1761865603.113822,0.026829,0.300000,0.022195
command,1.140226,1761865603.118768,nan,0.300000,0.005572
error,1.161300,1761865603.139842,0.026829,0.300000,0.005572
command,1.171680,1761865603.150222,nan,0.300000,0.018780
error,1.194589,1761865603.173131,0.021951,0.300000,0.018780
command,1.205625,1761865603.184167,nan,0.300000,0.002253
error,1.227191,1761865603.205733,0.021951,0.300000,0.002253
command,1.237960,1761865603.216502,nan,0.300000,0.015366
error,1.267698,1761865603.246240,0.019512,0.300000,0.015366
command,1.272165,1761865603.250707,nan,0.300000,0.007061
error,1.295842,1761865603.274383,0.019512,0.300000,0.007061
command,1.304850,1761865603.283391,nan,0.300000,0.013659
error,1.327229,1761865603.305771,0.014634,0.300000,0.013659
command,1.337319,1761865603.315861,nan,0.300000,-0.002935
error,1.368492,1761865603.347034,0.009756,0.300000,-0.002935
command,1.370952,1761865603.349494,nan,0.300000,0.010244
error,1.395121,1761865603.373662,-0.002439,0.300000,0.010244
command,1.404502,1761865603.383044,nan,0.300000,-0.047742
error,1.427048,1761865603.405590,-0.021951,0.300000,-0.047742
command,1.437055,1761865603.415597,nan,0.300000,-0.068274
error,1.468163,1761865603.446705,-0.043902,0.300000,-0.068274
command,1.471137,1761865603.449679,nan,0.300000,-0.015366
error,1.494185,1761865603.472727,-0.078049,0.300000,-0.015366
command,1.503553,1761865603.482095,nan,0.300000,-0.211468
error,1.535670,1761865603.514211,-0.121951,0.300000,-0.211468
command,1.536272,1761865603.514813,nan,0.300000,-0.054634
error,1.561153,1761865603.539695,-0.173171,0.300000,-0.054634
command,1.569109,1761865603.547651,nan,0.300000,-0.384299
command,1.602627,1761865603.581169,nan,0.300000,-0.121220
error,1.602659,1761865603.581200,-0.236585,0.300000,-0.121220
error,1.629448,1761865603.607990,-0.297561,0.300000,-0.121220
command,1.634430,1761865603.612972,nan,0.300000,-0.555042
error,1.660476,1761865603.639018,-0.373171,0.300000,-0.555042
command,1.667467,1761865603.646009,nan,0.300000,-0.469097
error,1.693690,1761865603.672232,-0.463415,0.300000,-0.469097
command,1.700613,1761865603.679155,nan,0.300000,-0.569456
error,1.734531,1761865603.713073,-0.507317,0.300000,-0.569456
command,1.734567,1761865603.713109,nan,0.300000,-0.324390
error,1.760711,1761865603.739253,-0.495122,0.300000,-0.324390
command,1.766985,1761865603.745527,nan,0.300000,-0.432928
command,1.798913,1761865603.777455,nan,0.300000,-0.346585
error,1.803483,1761865603.782025,-0.443902,0.300000,-0.346585
error,1.827955,1761865603.806496,-0.397561,0.300000,-0.346585
command,1.832157,1761865603.810699,nan,0.300000,-0.017339
error,1.860530,1761865603.839072,-0.331707,0.300000,-0.017339
command,1.866746,1761865603.845288,nan,0.300000,-0.054580
error,1.893750,1761865603.872292,-0.258537,0.300000,-0.054580
command,1.898410,1761865603.876952,nan,0.300000,0.022750
error,1.926912,1761865603.905454,-0.224390,0.300000,0.022750
command,1.931555,1761865603.910097,nan,0.300000,-0.063431
command,1.965561,1761865603.944103,nan,0.300000,-0.157073
error,1.968723,1761865603.947265,-0.214634,0.300000,-0.157073
error,1.994652,1761865603.973194,-0.231707,0.300000,-0.157073
command,1.999295,1761865603.977837,nan,0.300000,-0.124051
command,2.031004,1761865604.009546,nan,0.300000,-0.209198
error,2.034692,1761865604.013234,-0.243902,0.300000,-0.209198
error,2.059988,1761865604.038530,-0.234146,0.300000,-0.209198
command,2.063442,1761865604.041984,nan,0.300000,-0.170480
command,2.096650,1761865604.075192,nan,0.300000,-0.163902
error,2.099790,1761865604.078331,-0.204878,0.300000,-0.163902
error,2.130749,1761865604.109291,-0.153659,0.300000,-0.163902
