type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866485.660407,-0.034146,nan,nan
command,0.016569,1761866485.676976,nan,0.550000,0.067569
error,0.026271,1761866485.686678,0.021951,0.550000,0.067569
command,0.052230,1761866485.712636,nan,0.300000,0.170798
error,0.068325,1761866485.728732,0.085366,0.300000,0.170798
command,0.082024,1761866485.742431,nan,0.300000,0.231242
error,0.093422,1761866485.753829,0.126829,0.300000,0.231242
command,0.114794,1761866485.775201,nan,0.300000,0.201821
error,0.126189,1761866485.786596,0.160976,0.300000,0.201821
command,0.148706,1761866485.809113,nan,0.300000,0.206523
error,0.164433,1761866485.824839,0.178049,0.300000,0.206523
command,0.179947,1761866485.840354,nan,0.300000,0.171889
error,0.192440,1761866485.852846,0.187805,0.300000,0.171889
command,0.216718,1761866485.877125,nan,0.300000,0.157494
error,0.235783,1761866485.896189,0.192683,0.300000,0.157494
command,0.247449,1761866485.907855,nan,0.300000,0.148274
error,0.260304,1761866485.920711,0.187805,0.300000,0.148274
command,0.279681,1761866485.940088,nan,0.300000,0.118061
error,0.300541,1761866485.960948,0.178049,0.300000,0.118061
command,0.312951,1761866485.973357,nan,0.550000,0.098106
error,0.327047,1761866485.987453,0.168293,0.550000,0.098106
command,0.348311,1761866486.008718,nan,0.550000,0.091543
error,0.365187,1761866486.025594,0.153659,0.550000,0.091543
command,0.378334,1761866486.038741,nan,0.550000,0.067690
error,0.396534,1761866486.056941,0.139024,0.550000,0.067690
command,0.411521,1761866486.071928,nan,0.550000,0.056527
error,0.425812,1761866486.086218,0.121951,0.550000,0.056527
command,0.444542,1761866486.104949,nan,0.550000,0.038950
error,0.458827,1761866486.119233,0.112195,0.550000,0.038950
command,0.477253,1761866486.137659,nan,0.550000,0.052034
error,0.499835,1761866486.160241,0.102439,0.550000,0.052034
command,0.510324,1761866486.170731,nan,0.550000,0.044796
error,0.528606,1761866486.189012,0.087805,0.550000,0.044796
command,0.542661,1761866486.203068,nan,0.550000,0.021908
error,0.561110,1761866486.221516,0.075610,0.550000,0.021908
command,0.575993,1761866486.236400,nan,0.550000,0.019855
error,0.593792,1761866486.254199,0.070732,0.550000,0.019855
command,0.609203,1761866486.269609,nan,0.550000,0.036340
error,0.627041,1761866486.287448,0.060976,0.550000,0.036340
command,0.641310,1761866486.301717,nan,0.550000,0.015366
error,0.666573,1761866486.326980,0.051220,0.550000,0.015366
command,0.677777,1761866486.338184,nan,0.550000,0.009410
error,0.693274,1761866486.353681,0.048780,0.550000,0.009410
command,0.707816,1761866486.368222,nan,0.550000,0.027567
error,0.734762,1761866486.395168,0.041463,0.550000,0.027567
command,0.742283,1761866486.402690,nan,0.550000,0.009171
error,0.761255,1761866486.421662,0.039024,0.550000,0.009171
command,0.773333,1761866486.433739,nan,0.550000,0.020520
error,0.792094,1761866486.452501,0.039024,0.550000,0.020520
